Месяц,Предмет,Работа,Даты,Сложность,Длительность (дни),Статус
Октябрь,ММФА,1,07.10-08.10,Легко,2,📝 Планируется
Октябрь,ММФА,2,09.10-10.10,Легко,2,📝 Планируется
Октябрь,ММФА,3,13.10-14.10,Легко,2,📝 Планируется
Октябрь,МИИМППР,1,15.10-16.10,Легко,2,📝 Планируется
Октябрь,МИИМППР,2,17.10-20.10,Легко,2,📝 Планируется
Октябрь,КИС,1,21.10-22.10,Легко,2,📝 Планируется
Октябрь,КИС,2,23.10-24.10,Легко,2,📝 Планируется
Октябрь,КИС,3,27.10-28.10,Легко,2,📝 Планируется
Октябрь,СПУПИК,1,29.10-30.10,Легко,2,📝 Планируется
Ноябрь,СПУПИК,2,31.10-03.11,Легко,2,📝 Планируется
Ноябрь,СПУПИК,3,04.11-05.11,Легко,2,📝 Планируется
Ноябрь,ММФА,4,06.11-10.11,Средне,3,📝 Планируется
Ноябрь,ММФА,5,11.11-13.11,Средне,3,📝 Планируется
Ноябрь,ММФА,6,14.11-18.11,Средне,3,📝 Планируется
Ноябрь,МИИМППР,3,19.11-21.11,Средне,3,📝 Планируется
Ноябрь,МИИМППР,4,24.11-26.11,Средне,3,📝 Планируется
Декабрь,НИРР,дневник,27.11-28.11,Легко,2,📝 Планируется
Декабрь,НИРР,отчёт,01.12-04.12,Средне,4,📝 Планируется
Декабрь,Научка,отчёт,05.12-11.12,Сложно,5,📝 Планируется
Декабрь,МИИМППР,5,12.12-16.12,Средне,3,📝 Планируется
Декабрь,КИС,ERP 1,17.12-19.12,Средне,3,📝 Планируется
Декабрь,КИС,ERP 2,22.12-24.12,Средне,3,📝 Планируется
Декабрь,КИС,ERP 3,25.12-29.12,Средне,3,📝 Планируется
Январь 2026,СПУПИК,4,TBD,Средне,3,⏭️ Перенос
Январь 2026,СПУПИК,5,TBD,Средне,3,⏭️ Перенос
Январь 2026,СПУПИК,6,TBD,Средне,3,⏭️ Перенос
Январь 2026,МИИМППР,6,TBD,Сложно,4,⏭️ Перенос
Январь 2026,МИИМППР,7,TBD,Сложно,4,⏭️ Перенос
Январь 2026,МИИМППР,8,TBD,Сложно,4,⏭️ Перенос
Январь 2026,СПУПИК,7.1,TBD,Сложно,4,⏭️ Перенос
Январь 2026,СПУПИК,7.2,TBD,Сложно,4,⏭️ Перенос
Январь 2026,ММФА,Курсач 1,TBD,Сложно,7,⏭️ Перенос
Январь 2026,ММФА,Курсач 2,TBD,Сложно,7,⏭️ Перенос
Январь 2026,ММФА,Курсач 3,TBD,Сложно,7,⏭️ Перенос
